"%s is required","%s is required"
"%s: Edit Logic","%s: Edit Logic"
"%s: New Logic","%s: New Logic"
"(new copy)","(new copy)"
"API","API"
"Action","Action"
"Action to perform with target elements","Action to perform with target elements"
"Acumen (theme matching template)","Acumen (theme matching template)"
"Add Field","Add Field"
"Add Field - %s","Add Field - %s"
"Add Field Set","Add Field Set"
"Add Form","Add Form"
"Add Logic","Add Logic"
"Add New Form","Add New Form"
"Add custom stylization to the input element","Add custom stylization to the input element"
"Add header to the message","Add header to the message"
"Add header with Store Group, IP and other information to the message","Add header with Store Group, IP and other information to the message"
"Additional CSS classes for the input element","Additional CSS classes for the input element"
"Additional CSS style for the input element","Additional CSS style for the input element"
"Adds web-form collected results to a page","Adds web-form collected results to a page"
"Adds web-form to a page","Adds web-form to a page"
"Admin notification template","Admin notification template"
"Ajax","Ajax"
"Ajax submission","Ajax submission"
"Ajax upload","Ajax upload"
"All values should be checked","All values should be checked"
"Allow only latin characters in file names","Allow only latin characters in file names"
"Always on","Always on"
"An error occurred during operation.","An error occurred during operation."
"An error occurred while duplicating records.","An error occurred while duplicating records."
"An error occurred while updating records.","An error occurred while updating records."
"Any value can be checked","Any value can be checked"
"Approve","Approve"
"Approve selected results?","Approve selected results?"
"Approved","Approved"
"Are you sure to delete selected elements?","Are you sure to delete selected elements?"
"Are you sure to delete selected results?","Are you sure to delete selected results?"
"Are you sure to duplicate selected fields?","Are you sure to duplicate selected fields?"
"Are you sure to duplicate selected fieldsets?","Are you sure to duplicate selected fieldsets?"
"Are you sure to duplicate selected web-forms?","Are you sure to duplicate selected web-forms?"
"Are you sure you want to delete the entire form and associated data?","Are you sure you want to delete the entire form and associated data?"
"Auto (hidden for logged in customers)","Auto (hidden for logged in customers)"
"Blackglass","Blackglass"
"Block e-mail addresses","Block e-mail addresses"
"Block specified e-mail addresses from submission","Block specified e-mail addresses from submission"
"Captcha mode","Captcha mode"
"Change field set","Change field set"
"Change status","Change status"
"Clean","Clean"
"Code","Code"
"Code is used to help identify this field in scripts","Code is used to help identify this field in scripts"
"Code is used to help identify this web-form in scripts","Code is used to help identify this web-form in scripts"
"Comment","Comment"
"Condition","Condition"
"Contacts","Contacts"
"Contacts web-form","Contacts web-form"
"Convert newline characters to <br> html tags when saving message","Convert newline characters to <br> html tags when saving message"
"Convert newlines to html tags","Convert newlines to html tags"
"Custom login redirect URL(Key) if user is not authorized","Custom login redirect URL(Key) if user is not authorized"
"Customer","Customer"
"Customer notification template","Customer notification template"
"Date","Date"
"Date / Time","Date / Time"
"Date Created","Date Created"
"Default","Default"
"Default Values","Default Values"
"Default e-mail address for notifications","Default e-mail address for notifications"
"Default value is set in Forms Settings","Default value is set in Forms Settings"
"Delete","Delete"
"Delete File","Delete File"
"Delete Form","Delete Form"
"Delete this message?","Delete this message?"
"Description","Description"
"Design","Design"
"Disapprove","Disapprove"
"Disapprove selected results?","Disapprove selected results?"
"Display","Display"
"Display field","Display field"
"Display field in result / notification messages","Display field in result / notification messages"
"Display fieldset name in result / notification messages","Display fieldset name in result / notification messages"
"Display in menu","Display in menu"
"Displayed error message text if regex validation fails","Displayed error message text if regex validation fails"
"Duplicate","Duplicate"
"Duplicate Form","Duplicate Form"
"Duplicate results by e-mail to customer","Duplicate results by e-mail to customer"
"Dutch","Dutch"
"E-mail Settings","E-mail Settings"
"E-mail address is blocked: %s","E-mail address is blocked: %s"
"E-mail could not be sent!","E-mail could not be sent!"
"E-mail has been sent.","E-mail has been sent."
"E-mail template for admin notification letters","E-mail template for admin notification letters"
"E-mail template for customers notification letters","E-mail template for customers notification letters"
"E-mail template for replies","E-mail template for replies"
"E-mail this message?","E-mail this message?"
"E-mail thumbnail height","E-mail thumbnail height"
"E-mail thumbnail width","E-mail thumbnail width"
"E-mailed","E-mailed"
"Edit '%s' Field - %s","Edit '%s' Field - %s"
"Edit Field Set","Edit Field Set"
"Edit Field Set '%s'","Edit Field Set '%s'"
"Edit Form","Edit Form"
"Edit Quick Response '%s'","Edit Quick Response '%s'"
"Edit Result","Edit Result"
"Enable","Enable"
"Enable approval","Enable approval"
"Enable approval of results","Enable approval of results"
"Enable cache","Enable cache"
