"%s is required","%s on pakollinen"
"%s: Edit Logic","%s: Muokkaa logiikkaa"
"%s: New Logic","%s: Uusi logiikka"
"(new copy)","(uusi kopio)"
"API","API"
"Action","Toiminto"
"Action to perform with target elements","Valituille osille suoritettava toiminto"
"Acumen (theme matching template)","Acumen (teemaa vastaava malli)"
"Add Field","Uusi kenttä"
"Add Field - %s","Uusi kenttä - %s"
"Add Field Set","Uusi kenttäryhmä"
"Add Form","Uusi lomake"
"Add Logic","Uusi logiikka"
"Add New Form","Uusi lomake"
"Add custom stylization to the input element","Lisää mukautettu tyyli syöttöelementtiin"
"Add header to the message","Lisää ylätunniste viestiin"
"Add header with Store Group, IP and other information to the message","Lisää asiakasryhmä-, IP- ja muita tietoja sisältävä ylätunniste viestiin"
"Additional CSS classes for the input element","CSS-lisäluokat syöttöelementille"
"Additional CSS style for the input element","CSS-lisätyyli syöttöelementille"
"Adds web-form collected results to a page","Lisää lomakkeen keräämät tiedot sivulle"
"Adds web-form to a page","Lisää lomake sivulle"
"Admin notification template","Ilmoitusten pohja ylläpidolle"
"Ajax","Ajax"
"Ajax submission","Tietojen lähetys Ajax-menetelmällä"
"Ajax upload","Tiedostojen lataus Ajax-menetelmällä"
"All values should be checked","Kaikkien arvojen on oltava valittuna"
"Allow only latin characters in file names","Salli vain latinalaiset merkit tiedostojen nimissä"
"Always on","Aina päällä"
"An error occurred during operation.","Virhe tapahtui toiminnon aikana."
"An error occurred while duplicating records.","Virhe tapahtui tietojen kopioinnin aikana."
"An error occurred while updating records.","Virhe tapahtui tietojen päivtyksen aikana."
"Any value can be checked","Mikä tahansa arvo voi olla valittuna"
"Approve","Hyväksy"
"Approve selected results?","Hyväksy valitut tulokset?"
"Approved","Hyväksytty"
"Are you sure to delete selected elements?","Oletko varma että haluat poista valitut elementit?"
"Are you sure to delete selected results?","Oletko varma että haluat poista valitut tulokset?"
"Are you sure to duplicate selected fields?","Oletko varma että haluat luoda kaksoiskappalen valituista kentistä?"
"Are you sure to duplicate selected fieldsets?","Oletko varma että haluat luoda kaksoiskappalen valituista kenttäryhmistä?"
"Are you sure to duplicate selected web-forms?","Oletko varma että haluat uoda kaksoiskappalen valituista lomakkeista?"
"Are you sure you want to delete the entire form and associated data?","Oletko varma että haluat poista koko lomakkeen ja siihen liittyvät tiedot?"
"Auto (hidden for logged in customers)","Automaattinen (piilotettu kirjautnueilta asiakkailta)"
"Blackglass","Blackglass"
"Block e-mail addresses","Estä sähköpostiosoitteet"
"Block specified e-mail addresses from submission","Estä määritellyt sähköpostiosoitteet lähettämästä tietoja"
"Captcha mode","Captcha toimintotapa"
"Change field set","Muokkaa kenttäryhmää"
"Change status","Vaihda tila"
"Clean","Läpinäkyvä"
"Code","Koodi"
"Code is used to help identify this field in scripts","Koodin avulla tämä kenttä voidaan yksilöidä kommentosarjoissa"
"Code is used to help identify this web-form in scripts","Koodin avulla tämä lomake voidaan yksilöidä kommentosarjoissa"
"Comment","Kommentti"
"Condition","Ehto"
"Contacts","Yhteydenotot"
"Contacts web-form","Yhteydenottolomake"
"Convert newline characters to <br> html tags when saving message","Muunna rivinvaihtomerkit <br> HTML-tägeiksi tallennettaessa viestiä"
"Convert newlines to html tags","Muunna rivinvaihtoja HTML-tägeiksi"
"Custom login redirect URL(Key) if user is not authorized","Mukautettu sisäänkirjautumisen uudellenohjauksen URL-avain jos käyttäjän oikeuksia ei ole vahvistettu"
"Customer","Asiakas"
"Customer notification template","Ilmoitusten pohjat asiakkaille"
"Date","Päivämäärä"
"Date / Time","Päivämäärä / kellonaika"
"Date Created","Luotu PVM"
"Default","Oletus"
"Default Values","Oletusarvot"
"Default e-mail address for notifications","Oletussähköpostiosoite ilmoituksille"
"Default value is set in Forms Settings","Oletusarvo määritetään lomakkeiden asetuksissa"
"Delete","Poista"
"Delete File","Poista tiedosto"
"Delete Form","Poista lomake"
"Delete this message?","Poista tämä viesti?"
"Description","Kuvaus"
"Design","Malli"
"Disapprove","Hylkää"
"Disapprove selected results?","Hylkää valitut tulokset?"
"Display","Näytä"
"Display field","Näytä kenttä"
"Display field in result / notification messages","Näytä kenttä tuloksessa / ilmoitusviesteissä"
"Display fieldset name in result / notification messages","Näytä kenttäryhmä tuloksessa / ilmoitusviesteissä"
"Display in menu","Näytä valikossa"
"Displayed error message text if regex validation fails","Näytettävän virheilmoituksen teksti, jos vahvistaminen säännöllisen lausekkeen avulla epäonnistuu"
"Duplicate","Luo kaksoiskappale"
"Duplicate Form","Luo kaksoiskappale lomakkeesta"
"Duplicate results by e-mail to customer","Lähetä kopio tuloksista sähköpostitse asiakkaalle"
"Dutch","Hollanti"
"E-mail Settings","Sähköpostin asetukset"
"E-mail address is blocked: %s","Sähköpostiosoite on estetty: %s"
"E-mail could not be sent!","Sähköpostia ei voitu lähettää!"
"E-mail has been sent.","Sähköposti on lähetetty."
"E-mail template for admin notification letters","Sähköpostipohja ylläpidon ilmoitusviestille"
"E-mail template for customers notification letters","Sähköpostipohja asiakkaiden ilmoitusviestille"
"E-mail template for replies","Sähköpostipohja vastauksille"
"E-mail this message?","Lähetä tämä viesti sähköpostitse?"
"E-mail thumbnail height","Sähköpostin pienoiskuvan korkeus"
"E-mail thumbnail width","Sähköpostin pienoiskuvan leveys"
"E-mailed","Lähetetty sähköpostitse"
"Edit '%s' Field - %s","Muokkaa '%s' kenttää - %s"
"Edit Field Set","Muokkaa kenttäryhmää"
"Edit Field Set '%s'","Muokkaa kenttäryhmää '%s'"
"Edit Form","Muokkaa lomaketta"
"Edit Quick Response '%s'","Muokkaa pikavastausta '%s'"
"Edit Result","Muokkaa tulosta"
"Enable","Ota käyttöön"
"Enable approval","Ota käyttöön hyväksyntä"
"Enable approval of results","Ota käyttöön tulosten hyväksyntä"
"Enable cache","Ota käyttöön välimuisti"
"Enable instant file upload with progress and preview<br>Listed folders should have write permissions:<br><i>/js/webforms/upload/files<br>/js/webforms/upload/thumbnails</i>","Ota käyttöön reaaliaikainen tiedoston lataus (edistymispalkki ja esikatselu käytössä)<br>Allaoleviin kansioihin pitää olla kirjoitusoikeudet:<br><i>/js/webforms/upload/files<br>/js/webforms/upload/thumbnails</i>"
"English","Englanti"
"Enter your license serial number here","Syötä lisenssin sarjanumero tähän"
"Equal","Yhtä kuin"
"Error duplicating web-form","Virhe kopioitaessa lomaketta"
"Expand","Laajenna"
"Field Information","Kentän tiedot"
"Field Set","Kenttäryhmä"
"Field Sets","Kenttäryhmät"
"Field does not exist","Kenttää ei ole olemassa"
"Field name display length","Kentän nimen näytettävä pituus"
"Field position in the form relative to field set","Kentän sijainti lomakkeessa suhteessa kenttäryhmään"
"Field set","Kenttäryhmä"
"Field value(s)","Kentän arvo(t)"
"Field was successfully deleted","Kenttä on poistettu onnistuneesti"
"Field was successfully saved","Kenttä on tallennettu onnistuneesti"
"Fields","Kentät"
"Fieldset does not exist","Kenttäryhmää ei ole olemassa"
"Fieldset position in the form","Kenttäryhmän sijainti lomakkeessa"
"Fieldset was successfully deleted","Kenttäryhmä on poistettu onnistuneesti"
"Fieldset was successfully saved","Kenttäryhmä on tallennettu onnistuneesti"
"File Upload","Tiedoston lataus"
"Files Settings","Tiedostojen asetukse"
"Files upload limit","Tiedostojen latauksen rajoitus"
"Focus on web-form","Kohdista lomakkeeseen"
"Form Information","Lomakkeen tiedot"
"Forms will be submitted without page reloading","Lomakkeet lähetetään ilman sivun uudelleen lataamista"
"French","Ranska"
"Frontend Template","Asiakasnäkymän pohja"
"General Settings","Yleiset asetukset"
"German","Saksa"
"Grid thumbnail height","Ruudukon pienoiskuvan korkeus"
"Grid thumbnail width","Ruudukon pienoiskuvan leveys"
"Guest","Vieras"
"HTML Editor","HTML-editori"
"Hidden","Piilotettu"
"Hide","Piilota"
"Hint","Vihje"
"Hint message will appear in the input and disappear on the focus","Vihjeviesti näkyy kentässä ja poistuu kenttään kohdistaessa"
"Html Block","HTML-lohko"
"IP","IP"
"If assigned field set is not active the field won`t be displayed","Jos määritetty kenttäryhmä ei ole aktiivinen, kenttää ei näytetään"
"If empty default notification e-mail address will be used. You can set multiple addresses comma-separated","Jos on jätetty tyhjäksi, käytetään oletussähköpostiosoitetta ilmoituksille. Useita osoitteita voi käyttää pilkulla erotettuna."
"If you have Select/Contact field in the form, e-mail notification will be sent twice: to admin and to selected contact","Jos lomakkeessa on valinta/yhteystieto kenttä, sähköposti-ilmoitus lähetetään ylläpidolle ja valitulle yhteystiedolle"
"Image Upload","Kuvan lataus"
"Images","Kuvat"
"Images Settings","Kuvien asetukset"
"Images upload limit","Kuvien latauksen rajoitus"
"In case you have problems receiving notifications this e-mail address should be set to your mailbox used for sending out system e-mails. It doesn't affect reply-to values(except Gmail web-interface which has issues with it).","Jos ilmoitusten vastaanottamisessa on ongelmia, tämä sähköpostiosoite tulee asettaa järjestelmäviestejä lähettäväksi oletus-sähköpostiosoitteeksi. Tämä ei vaikuta vastaus-sähköpostiosoite arvoihin (paitsi Gmailin internet-käyttöliittymässä, joka ei ehkä toimisi silloin odotetusti."
"In order for reCaptcha to work please enter valid public and private keys. You can get those by visiting <a href='http://www.google.com/recaptcha' target='_blank'>this page</a>","Syötä voimassa olevat julkinen ja salainen avain, aktivoidaaksesi reCaptcha. Saat avaimet osoitteesta <a href='http://www.google.com/recaptcha' target='_blank'>this page</a>"
"Incorrect serial number.","Väärä sarjanumero."
"Information","Tiedot"
"Language","Kieli"
"Last Modified","Muokattu (milloin)"
"Last Result","Viimeisin tulos"
"Legacy (Magento 1.3 and earlier)","Yhteensopivuus (Magento 1.3 tai aikaisemmat)"
"License","Lisenssi"
"License is active.","Lisenssi on aktiivinen."
"License serial number for WebForms Professional Edition is missing.","WebForms Professional Editionin lisenssin sarjanumero puuttuu."
"Load","Lataa"
"Load jQuery","Lataa jQuery"
"Load jQuery library required by Ajax uploader. Disable if your theme is already using jQuery.","Lataa Ajax-uploaderin vaatima jQuery-kirjasto.Poista käytöstä jos jQuery on käytössä nykyisessä teemassa."
"Logic","Logiikka"
"Logic Rule","Logiikan sääntö"
"Logic aggregation","Logiikan yhdistäminen"
"Logic was successfully deleted","Logiikka on poistettu onnistuneesti"
"Logic was successfully saved","Logiikka on tallennettu onnistuneesti"
"Login redirect URL","Sisäänkirjautumisen uudelleenohjauksen URL-osoite"
"Manage Forms","Hallinnoi lomakkeita"
"Manage Quick Responses","Hallinnoi pikavastauksia"
"Maximum length","Enimmäispituus"
"Maximum upload file size in kB","Ladattavan tiedoston enimmäiskoko kB"
"Maximum upload image size in kB","Ladattavan kuvan enimmäiskoko kB"
"Message","Viesti"
"Messages History","Viestihistoria"
"Minimum length","Vähimmäispituus"
"Mode","Tila"
"NOT equal","EI OLE yhtä suuri"
"Name","Nimi"
"New Field Set","Uusi kenttäryhmä"
"New Quick Response","Uusi pikavastaus"
"Newer","Uudempi"
"Not E-mailed","Ei lähetetty sähköpostitse"
"Notification e-mail address","Sähköpostiosoite ilmoituksille"
"Off","Pois päältä"
"Older","Vanhempi"
"On","Päällä"
