"%s is required","%s est obligatoire"
"%s: Edit Logic","%s: Editer la Logique"
"%s: New Logic","%s: Nouvelle Logique"
"(new copy)","(nouvelle copie)"
"API","API"
"Action","Action"
"Action to perform with target elements","Actions a effectuer sur les éléments cibles"
"Acumen (theme matching template)","Acumen (correspondance avec le thème)"
"Multistep (display fieldsets as steps)","Multistep (affiche les champs comme des étapes)"
"Sidebar (compact sidebar block)","Colonne (block compacte pour colonne)"
"Legacy (Magento 1.3 and earlier)","Hérité (Pour Magento 1.3 et antérieur)"
"Add Field","Ajouter un champ"
"Add Field - %s","Ajouter un champ - %s"
"Add Field Set","Ajouter une rubrique"
"Add Form","Ajouter un formulaire"
"Add Logic","Ajouter une logique"
"Add New Form","Ajouter un nouvau formulaire"
"Add custom stylization to the input element","Ajouter un style personalisé pour les champs de saisies"
"Add header to the message","Ajouter une entête au message"
"Add header with Store Group, IP and other information to the message","Ajouter une entête avec le group du magasin, l'IP et 'autres informations au message"
"Additional CSS classes for the input element","Classes CSS additionnelles pour les éléments de saisies"
"Additional CSS style for the input element","Style CSS additionnelles pour le champ de saisies"
"Adds web-form collected results to a page","Ajouter les résultats collectés du formulaire sur une page"
"Adds web-form to a page","Ajouter web-form sur une pagee"
"Admin notification template","Modèle de notification admin"
"Ajax","Ajax"
"Ajax submission","Soumission Ajax"
"Ajax upload","Upload Ajax"
"All values should be checked","Toutes les valeurs devraient être cochées"
"Allow only latin characters in file names","Autoriser uniquement les caractères latins dans les noms de fichiers"
"Always on","Toujours sur"
"An error occurred during operation.","Une erreur est survenue durant l'op&ération."
"An error occurred while duplicating records.","Une erreur est survenue en duplicant les enregistrements."
"An error occurred while updating records.","Une erreur est survenue en mettant les enregistrements à jour."
"Any value can be checked","Chacune des valeur peut être cochée"
"Approve","Approuver"
"Approve selected results?","Approuver les résultats sélectionnés ?"
"Approved","Approuvé"
"Are you sure to delete selected elements?","Êtes-vous certain de vouloir supprimer les éléments séletionnés ?"
"Are you sure to delete selected results?","Êtes-vous certain de vouloir supprimer les résultats séletionnés ?"
"Are you sure to duplicate selected fields?","Êtes-vous certain de vouloir dupliquer les champs sélectionnés ?"
"Are you sure to duplicate selected fieldsets?","Êtes-vous certain de vouloir dupliquer les rubriques sélectionnées ?"
"Are you sure to duplicate selected web-forms?","Êtes-vous certain de vouloir dupliquer les formulaires sélectionnés ?"
"Are you sure you want to delete the entire form and associated data?","Êtes-vous certain de vouloir supprimer le formulaire complet et les données qui lui sont associées ?"
"Auto (hidden for logged in customers)","Auto (caché pour les cients connectés)"
"Blackglass","Blackglass"
