"%s is required","%s обязательно для заполнения"
"%s: Edit Logic","%s: редактирование логики"
"%s: New Logic","%s: новая логика"
"(new copy)","(новая копия)"
"API","API"
"Action","Действие"
"Action to perform with target elements","Действие для целевых элементов"
"Acumen (theme matching template)","Acumen (шаблон для темы)"
"Add Field","Добавить поле"
"Add Field - %s","Добавление поля - %s"
"Add Field Set","Добавить набор полей"
"Add Form","Добавить форму"
"Add Logic","Добавить логику"
"Add New Form","Добавить новую форму"
"Add custom stylization to the input element","Добавить свой стиль для элемента ввода"
"Add header to the message","Добавить заголовок в сообщение"
"Add header with Store Group, IP and other information to the message","Добавить заголовок с названием магазина, IP адресом покупателя и другой информацией к сообщению"
"Additional CSS classes for the input element","Дополнительные CSS классы для элемента ввода"
"Additional CSS style for the input element","Дополнительные CSS стиль для элемента ввода"
"Adds web-form collected results to a page","Добавить результаты заполнения формы на страницу"
"Adds web-form to a page","Добавить веб-форму на страницу"
"Admin notification template","Шаблон уведомления администратора"
"Ajax","Ajax"
"Ajax submission","Отправка данных с помощью технологии Ajax"
"Ajax upload","Загрузка файлов с помощью технологии Ajax"
"All values should be checked","Все значение должны быть отмечены"
"Allow only latin characters in file names","Разрешать только латинские символы в именах файлов"
"Always on","Всегда включено"
"An error occurred during operation.","Произошла ошибка во время операции."
"An error occurred while duplicating records.","Произошла ошибка во время дублирования записей."
"An error occurred while updating records.","Произошла ошибка во время обновления записей."
"Any value can be checked","Любое значение может быть отмечено"
"Approve","Одобрить"
"Approve selected results?","Одобрить выбранные результаты?"
"Approved","Одобрено"
"Are you sure to delete selected elements?","Вы уверены, что хотите удалить выбранные элементы?"
"Are you sure to delete selected results?","Вы уверены, что хотите удалить выбранные результаты?"
"Are you sure to duplicate selected fields?","Вы уверены, что хотите дублировать выбранные поля?"
"Are you sure to duplicate selected fieldsets?","Вы уверены, что хотите дублировать выбранные наборы полей?"
"Are you sure to duplicate selected web-forms?","Вы уверены, что хотите дублировать выбранные веб-формы?"
"Are you sure you want to delete the entire form and associated data?","Вы уверены, что хотите удалить форму и все связанные с ней данные?"
"Auto (hidden for logged in customers)","Авто (спрятано для авторизованных пользователей)"
"Blackglass","Blackglass"
"Block e-mail addresses","Блокировать адреса электронной почты"
"Block specified e-mail addresses from submission","Блокировать отправку с указанных адресов электронной почты"
"Captcha mode","Режим вывода Captcha"
"Change field set","Изменить набор полей"
"Change status","Изменить статус"
"Clean","Clean"
"Code","Код"
"Code is used to help identify this field in scripts","Код используется для идентификации поля в произвольных сценариях"
"Code is used to help identify this web-form in scripts","Код используется для идентификации веб-формы в произвольных сценариях"
"Comment","Комментарий"
"Condition","Условие"
"Contacts","Контакты"
"Contacts web-form","Веб-форма обратной связи"
"Convert newline characters to &lt;br&gt; html tags when saving message","Конвертировать символ каретки в тег &lt;br&gt; при сохранении сообщения"
"Convert newlines to html tags","Конвертировать символ каретки в html код"
"Custom login redirect URL(Key) if user is not authorized","Перенаправлять неавторизованного пользователя на указанную страницу, если он пытается получить доступ к закрытой форме"
"Customer","Покупатель"
"Customer notification template","Шаблон уведомления покупателя"
"Date","Дата"
"Date / Time","Дата / Время"
"Date Created","Дата создания"
"Default","По умолчанию"
"Default Values","Значения по умолчанию"
"Default e-mail address for notifications","Адрес электронной почты для уведомлений"
"Default value is set in Forms Settings","Значение по умолчанию задано на странице Настройки форм"
"Delete","Удалить"
"Delete File","Удалить файл"
"Delete Form","Удалить форму"
"Delete this message?","Удалить это сообщение?"
"Description","Описание"
"Design","Дизайн"
"Disapprove","Отменить одобрение"
"Disapprove selected results?","Отменить одобрение выбранных результатов?"
"Display","Отображать"
"Display field","Отображать поле"
"Display field in result / notification messages","Отображать поле в результате / уведомлениях"
"Display fieldset name in result / notification messages","Отображать набор полей в результате / уведомлениях"
"Display in menu","Отображать в меню"
"Displayed error message text if regex validation fails","Отображаемый текст ошибки если проверка на регулярное выражение не пройдена"
"Duplicate","Дублировать"
"Duplicate Form","Дублировать форму"
"Duplicate results by e-mail to customer","Дублировать результаты заполнения формы клиенту"
"Dutch","Dutch"
"E-mail Settings","Настройки электронной почты"
"E-mail address is blocked: %s","Адрес электронной почты заблокирован: %s"
"E-mail could not be sent!","Электронное письмо не может быть отправлено!"
"E-mail has been sent.","Электронное письмо было отправлено."
"E-mail template for admin notification letters","Шаблон уведомления для администратора"
"E-mail template for customers notification letters","Шаблон уведомления для клиента"
"E-mail template for replies","Шаблон для ответа"
"E-mail this message?","Отправить это сообщение?"
"E-mail thumbnail height","Высота миниатюры в уведомлении"
"E-mail thumbnail width","Ширина миниатюры в уведомлении"
"E-mailed","Отправлено"
"Edit '%s' Field - %s","Редактирование поля '%s' - %s"
"Edit Field Set","Редактирование набора полей"
"Edit Field Set '%s'","Редактирование набора полей '%s'"
"Edit Form","Редактировать форму"
"Edit '%s' Form","Редактирование формы '%s'"
"Edit Quick Response '%s'","Редактирование быстрого ответа '%s'"
"Edit Result","Редактировать результат"
"Enable","Включить"
"Enable approval","Разрешить одобрение результатов"
"Enable approval of results","Разрешить одобрение результатов"
"Enable cache","Включить кэширование"
"Enable customer notifications","Уведомлять клиента по почте после заполнения формы"
"Enable instant file upload with progress and preview<br>Listed folders should have write permissions:<br><i>/js/webforms/upload/files<br>/js/webforms/upload/thumbnails</i>","Включить мнгновенную загрузку файлов с прогресс баром и превью<br>Следующие папки должны иметь права записи:<br><i>/js/webforms/upload/files<br>/js/webforms/upload/thumbnails</i>"
"English","English"
"Enter your license serial number here","Введите лицензионный ключ"
"Equal","Равно"
"Error duplicating web-form","Возникла ошибка при дублировании веб-формы"
"Expand","Показать"
"Field Information","Информация о поле"
"Field Set","Набор полей"
"Field Sets","Наборы полей"
"Field does not exist","Поле не существует"
"Field name display length","Длина отображаемого имени поля в таблице результатов"
"Field position in the form relative to field set","Позиция поля в текущем наборе полей"
"Field set","Набор полей"
"Field value(s)","Значение(варианты значения) поля"
"Field was successfully deleted","Поле было успешно удалено"
"Field was successfully saved","Поле было успешно сохранено"
"Fields","Поля"
"Fieldset does not exist","Набор полей не существует"
"Fieldset position in the form","Позиция набора полей в форме"
"Fieldset was successfully deleted","Набор полей был успешно удален"
"Fieldset was successfully saved","Набор полей был успешно сохранен"
"File Upload","Загрузка файла"
"Files Settings","Настройки файлов"
"Files upload limit","Лимит загрузки файлов"
"Focus on web-form","Фокусироваться на веб-форме"
"Form Information","Информация о форме"
"Forms will be submitted without page reloading","Отправка будет происходить без перезагрузки основной страницы"
"French","French"
"Frontend Template","Шаблон для публичной части сайта"
"General Settings","Основные свойства"
"German","German"
"Grid thumbnail height","Высота миниатюры в таблице"
"Grid thumbnail width","Ширина миниатюры в таблице"
"Guest","Гость"
"HTML Block","HTML блок"
"HTML Editor","HTML редактор"
"Hidden","Скрытое"
"Hide","Спрятать"
"Hint","Подсказка"
"Hint message will appear in the input and disappear on the focus","Подсказка отображается непосредственно в поле ввода и исчезает при фокусировке"
"Honeypot Captcha","Honeypot капча"
"Honeypot captcha creates hidden field which is usually filled by simple spam bots. This feature can dramatically decrease spam submissions at no cost to customer comfort","Honeypot капча создает скрытое поле, которое обычно заполняется спам ботами. Эта функция значительно уменьшает количество спама, при этом не создает неудобств для ваших клиентов"
"Html Block","Html блок"
"IP","IP"
"If assigned field set is not active the field won`t be displayed","Если соответсвующий набор полей неактивен, поле не будет отображаться в форме"
"If empty default notification e-mail address will be used. You can set multiple addresses comma-separated","При пустом значении будет использоваться адрес электронной почты из основных настроек. Вы можете указать несколько адресов разделяя их запятой"
"Enable admin notifications. If you have Select/Contact field in the form, e-mail notification will be sent twice: to admin and to selected contact","Если у вас есть в форме поле типа Список / Контакты, уведомление будет отправлено дважды: администратору и выбранному контакту"
"Image Upload","Загрузка изображения"
"Images","Изображения"
"Images Settings","Настройки изображений"
"Images upload limit","Лимит загружаемых изображений"
"In case you have problems receiving notifications this e-mail address should be set to your mailbox used for sending out system e-mails. It doesn't affect reply-to values(except Gmail web-interface which has issues with it).","В случае проблем с получением уведомлений, данный адрес почты должен быть установлен таким же каким является фактический адрес, используемый системой для отправки писем."
"In order for reCaptcha to work please enter valid public and private keys. You can get those by visiting <a href='http://www.google.com/recaptcha' target='_blank'>this page</a>","Для работы reCaptcha вам необходимо указать публичный и частный ключи. Их можно получить пройдя по <a href='http://www.google.com/recaptcha' target='_blank'>ссылке</a>"
"Incorrect serial number.","Неправильный лицензионный ключ."
"Information","Информация"
